CPI_CODE,Name,Access_year,Access_month,Access_day,Start_year,Start_month,Start_day,End_year,End_month,End_day,Report_year,Report_month,Report_day,Name,Dyad,Ongoing_military_confrontation,Type_of_dispute,Geopolitical_setting,Name,Attacker_jurisdiction,Attacker_jurisdiction_II,Attacking_entity,Involved_proxy,Involved_individuals,Nuclear_capability,Accountability_index,Foreign_Direct_Investment_ranking,GDP_rank,GGE,OSCE,ASEAN,OAS,SCO,LAS,G7,G20,attacker_Existence_of_cyber_command,Target_jurisdiction,Target_jurisdiction_II,Target_entity,Internet_infrastructure,Government,Commercial,State_owned,Individuals_targeted,CI_Sector,CI_Sector_II,CI_Sector_III,Nuclear_capability,Accountability_index,Foreign_Direct_Investment_ranking,GDP_rank,GGE,OSCE,ASEAN,OAS,SCO,LAS,G7,G20,Existence_of_cyber_command,Name,Initial_access_(MITRE_ATT&CK_for_Enterprise),Initial_access_(MITRE_ATT&CK_for_ICS),Impact_(MITRE_ATT&CK_for_Enterprise),Additional_Impact_(MITRE_ATT&CK_for_Enterprise),Impact_(MITRE_ATT&CK_for_ICS),Name,Infosec_effect,US_military_effects,Physical_effect,Corporate_downtime,Estimated_loss_(m_USD)
2015-001,TV5Monde,2015,2,6,2015,4,8,2015,4,9,2015,4,9,TV5Monde,Russia-West,no,ideological,regional balance of power,TV5Monde,Russia,no,GRU,Sandworm Team,N/A,yes,19,30,11,yes,yes,no,no,yes,no,no,yes,yes,France,no,TV5Monde Global Network,no,no,yes,yes,no,Broadcast,Media,no,yes,88,9,7,yes,yes,no,no,no,no,yes,yes,no ,TV5Monde,External remote services,not applicable,Defacement,not applicable,not applicable,TV5Monde,Integrity/Availability,manipulation,no,hours,9
2015-002,Black Energy Ukraine,2015,unknown,unknown,2015,12,23,2015,12,23,2015,12,23,Black Energy Ukraine,Russia-Ukraine,active,territorial,regional balance of power,Black Energy Ukraine,Russia,no,GRU,Sandworm Team,N/A,yes,19,30,11,yes,yes,no,no,yes,no,no,yes,yes ,Ukraine,no,Ukrainian electric grid,no,no,yes,yes,no,Energy,no,no,no,45,61,58,no,yes,no,no,no,no,no,no,no ,Black Energy Ukraine,not applicable,Phishing,not applicable,not applicable,Loss of control,Black Energy Ukraine,Integrity/Availability,disruption,yes,hours,unknown
2016-001,CrashOverride,2016,unknown,unknown,2016,7,unknown,2016,12,17,2016,12,17,CrashOverride,Russia-Ukraine,active,territorial,regional balance of power,CrashOverride,Russia,no,GRU,Sandworm Team,N/A,yes,19,30,11,yes,yes,no,no,yes,no,no,yes,yes ,Ukraine,no,Ukrainian electric grid,no,no,no,yes,no,Energy,no,no,no,45,61,58,no,yes,no,no,no,no,no,no,no ,CrashOverride,not applicable,Phishing,not applicable,not applicable,Loss of control,CrashOverride, Integrity/Availability,disruption,yes,hours,unknown
2017-001,Triton,2017,6,unknown,2017,8,7,2017,8,7,2017,12,14,Triton,Russia-Saudi Arabia,no,economic,bilateral,Triton,Russia,no,Central Scientific Research Institute of Chemistry and Mechanics,no,N/A,yes,19,30,11,yes,yes,no,no,yes,no,no,yes,yes ,Saudi Arabia,no,Petro Rabigh,no,no,yes,no,no,Petrochemical ,no,no,no,6,46,18,no ,no,no,no,no,yes,no,yes,no ,Triton,not applicable,Engineering workstation compromise,not applicable,not applicable,Loss of safety,Triton,Integrity,manipulation,no,unknown,unknown
2017-002,WannaCry,unknown,unknown,unknown,2017,5,12,2017,6,unknown,2017,5,12,WannaCry,North Korea-West,no,ideological,regional balance of power,WannaCry,North Korea,no,unknown,Lazarus Group,Jin Hyok Park,yes,not available,151,99,no ,no,no,no,no,no,no,no,yes,Multiple ,no,Multiple ,yes,yes,yes,ys,no,Healthcare,Logistics,Manufacturing,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,WannaCry,unknown,not applicable,Data encrypted for impact,not applicable,Loss of productivity and revenue,WannaCry,Integrity/Availability,destruction,no,unknown,4 000
2017-003,Left of Launch,unknown,unknown,unknown,2017,4,15,2017,4,15,2017,4,18,Left of Launch,North Korea-United States,frozen,ideological,regional balance of power,Left of Launch,United States,no,Cyber Command,no,N/A,yes,81,1,1,yes,yes,no,yes,no,no,yes,yes,yes ,North Korea,no,Missile program,no,yes,no,no,no,Military,no,no,under development,not available,151,99,no,no,no,no,no,no,no,no,yes,Left of Launch,unknown,not applicable,not applicable,not applicable,not applicable,Left of Launch,unknown,destruction,yes,not applicable,unknown
2017-004,NotPetya,unknown,unknown,unknown,2017,6,27,2017,unknown,unknown,2017,6,27,NotPetya,Russia-West,no,ideological,regional balance of power,NotPetya,Russia,no,GRU ,Sandworm Team,N/A,yes,19,30,11,yes,yes,no,no,yes,no,no,yes,yes ,Ukraine,Multiple,Multiple ,yes,yes,yes,yes,no,Manufacturing,Logistics,no,no,45,61,58,no,yes,no,no,no,no,no,no,no ,NotPetya,Supply chain compromise,not applicable,Data encrypted for impact,not applicable,Loss of productivity and revenue,NotPetya,Integrity/Availability,destruction,no,days,10 000
2017-005,Bad Rabbit,N/A,N/A,N/A,2017,10,24,unknown,unknown,unknown,2017,10,24,Bad Rabbit,Russia-West,no,ideological,world order,Bad Rabbit,Russia,no,GRU ,Sandworm Team,N/A,yes,19,30,11,yes,yes,no,no,yes,no,no,yes,yes ,Multiple,no,Multiple ,yes,yes,yes,yes,no,Media,Transportation,no,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,Bad Rabbit,Drive-by compromise,not applicable,Data encrypted for impact,not applicable,unknown,Bad Rabbit,Availability,disruption,no,days,unknown
2017-006,DDoS on North Korea,unknown,unknown,unknown,2017,3,unknown,2017,9,30,2017,9,30,DDoS on North Korea,North Korea-United States,frozen,ideological,regional balance of power,DDoS on North Korea,United States,no,Cyber Command,no,N/A,yes,81,1,1,yes,yes,no,yes,no,no,yes,yes,yes ,North Korea,no,Reconnaissance General Bureau,no,yes,no,no,no,Military,no,no,under development,not available,151,99,no,no,no,no,no,no,no,no,yes,DDoS on North Korea,not applicable,not applicable,Denial of service,not applicable,not applicable,DDoS on North Korea,Availability,disruption,no,not applicable,unknown
2017-007,Qatar News Agency ,2017,4,19,2017,5,24,2017,5,24,2017,5,24,Qatar News Agency ,Gulf States-Iran,no,ideological,regional balance of power,Qatar News Agency,United Arab Emirates,no,unknown,no,five individuals detained,no,18,28,31,no ,no,no,no,no,yes,no,no,no ,Qatar,no,Qatar News Agency,no,yes,no,yes,Royal Family members,Government communications,Media,no,no,14,179,54,no,no,no,no,no,yes,no,no,no ,Qatar News Agency ,External remote services,not applicable,Account access removal ,not applicable,not applicable,Qatar News Agency ,Integrity,manipulation,no,unknown,unknown
2018-001,Internet Research Agency,2018,10,unknown,2018,11,5,2018,11,5,2019,2,27,Internet Research Agency,Russia-United States,no,ideological,world order,Internet Research Agency,United States,no,Cyber Command,no,N/A,yes,81,1,1,yes,yes,no,yes,no,no,yes,yes,yes ,Russia,no,Internet Research Agency,no,no,yes,no,no,N/A,no,no,yes,19,30,11,yes,yes,no,no,yes,no,no,yes,yes,Internet Research Agency,Phishing,not applicable,Disk wipe,not applicable,not applicable,Internet Research Agency,Availability,disruption,no,hours,unknown
2019-001,Georgia 2019,unknown,unknown,unknown,2019,10,28,2019,10,28,2019,10,28,Georgia 2019,Georgia-Russia,no,ideological,regional balance of power,Georgia 2019,Russia,no,GRU,Sandworm Team,N/A,yes,19,30,11,yes,yes,no,no,yes,no,no,yes,yes,Georgia,no,Pro-Service Web-hosting company,yes,no,yes,no,no,N/A,no,no,no,56,84,120,no,yes,no,no,no,no,no,no,no ,Georgia 2019,unknown,not applicable,Defacement,not applicable,not applicable,Georgia 2019,Integrity/Availability,disruption,no,hours,unknown
2019-002,BAPCO,2019,7,25,2019,12,29,2019,12,30,2020,1,9,BAPCO,Bahrain-Iran,no,ideological,regional balance of power,BAPCO,Iran,no,unknown,no,N/A,under development,13,49,26,no,no,no,no,observer,no,no,no,yes,Bahrain,no,Bahrain National Oil Company,no,no,no,yes,no,Petrochemical ,no,no,no,11,70,97,no,no,no,no,no,no,no,no,no ,BAPCO,External remote services,not applicable,System shutdown/Reboot,Disk wipe,Loss of productivity and revenue,BAPCO,Integrity/Availability,disruption,no,unknown,unknown
